Auction ID/CIN/LLPIN,Bank/Organisation Name,Location-City/District/address,_Auction date,_Last Date of EMD Submission,_Reserve Price,EMD Amount,Nature of Assets,Details URL,Auction Notice URL,Source
U27100TG2007PLC056809,saibhaskar Irons Limited,Nagarjupalli Village Martur Mandal Prakasham District as per Document but now it is in Bapatla District Andhra Pradesh,26-09-2025,23-09-2025,4592700.0,459270.0,Other Than land( Financial ASsets and Intangible Assets),https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756178077_8656.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-26-084433-5w8xn-58c84e8c5ab86daa0a1536803f36653a.pdf,IBBI_Auctions
U51398MH1993PTC074600,Auro Gold Jewellery Private Limited,Mumbai & Surat,25-09-2025,23-09-2025,26875500.0,2687550.0,Office premises of Corporate Debtor (Land & Building),https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756183062_8657.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/802ec14e7419c6d73b4b7dca45eb3d99.pdf,IBBI_Auctions
L51909MH2007PLC268269,FUTURE RETAIL LIMITED,na,11-09-2025,08-09-2025,155850000.0,15585000.0,BRANDS/TRADEMARK,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756230755_8660.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/67f72b47905c28dff6bc392bb1e62787.pdf,IBBI_Auctions
U45200BR1974SGC001146,Bihar State Construction Corporation Limited,"Bihar , Jharkhand",25-09-2025,23-09-2025,1600000.0,160000.0,"Bricks, Furnitures,,, VAN, Motor Pump, Chest, Box, Truck, VAN, Generator, Iron Self, Typing Machine, VAN, Motor Pump, Chest, Box, Truck, VAN, Generator, Iron Self, Typing Machine etc",https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756201511_8659.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/deccff677d80514abb85778a83b3d6cb.pdf,IBBI_Auctions
U17301PB2007PTC030900,RAMA KRISHNA KNITTERS PRIVATE LIMITED,"Village Nurpur Bet, Hambran Ladowal Road, Near T.V. Centre Building, Ludhiana",29-09-2025,27-09-2025,89100.0,8910.0,Plant & Machinery and Misc Fixed Assets- One (1) No. Circular Knitting Machine- Block 4.2.7.2.2,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756189345_8658.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/025139f0ed4a356dc061ca5e52f73532.pdf,IBBI_Auctions
U85110KA1997PTC022128,IDEB PROJECTS PRIVATE LIMITED,"Plot No. 1378, Nicholson Road, Opp to Ritz Cinemas, Inter state Bus Terminal, Kashmere Gate, New Delhi – 110006, admeasuring 300 sq. ft.",26-09-2025,24-09-2025,6000000.0,600000.0,Land and Building,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756101274_8651.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/5b503a04b30adcf5a1e19ad3919ce6c3.pdf,IBBI_Auctions
U74900TN2014PTC097690,SHEBA MARINE ENGINEERING PRIVATE LIMITED,"No. 46 Thenbazar Post, Villupuram, Thindivanam, Tamil Nadu – 604001 Copyright © 2025",11-09-2025,09-09-2025,708485.0,70840.0,"Sale of all plant and machinery comprising the manufacturing unit together with all related fixtures, fittings, tools, spares, accessories, and auxiliary equipment installed or used in connection therewith, on “as is where is”, “as is what is basis”, “whatever there is basis” and “no recourse basis”. MAIN PLANT AND MACHINERY a) Mig-Welder – 3 (Quantity) b) Padestal Drilling Machine - 1 (Quantity) c) Gas Welding Set - 1 (Quantity) d) Rachet Lever Hoist Chain Block - 7 (Quantity) e) Boat Support Stand- 3 Feet (2 nos), 4 Feet (4 nos), 5 Feet (6 nos), 6 Feet (1 nos) f) Working Stand - 8 Feet - 1 (Quantity) 2) ) UTILITIES & ACCESSORIES a) Air-Compressor Elgi Make - 7.5 Hp - 1 (Quantity) b) 1 Ton Material Handling Lift - 1 (Quantity) c) Sloted Rack - 2 (Quantity) d) Steel Almarah - 2 (Quantity) 3) MISCELLANEOUS ASSETS a) Sheba 7m - ( Boat Skelton ) At Tindivanam - 1 (Quantity) b) Powertec Jetski- Unfit Condition -Engine Dismantled – 1 (Quantity) c) Jetski Display Stand - 1 (Quantity) d) Trolley For Boat Displacment - 1 (Quantity) e) Power-Tec 2 Hp Engine - 1 (Quantity) f) Power-Tec Tank With Hose - 1 (Quantity) g) Power-Tec 6 Hp Engine Propeller - 1 (Quantity) h) Head Cover- 2 (Quantity) i) Yamaha Obm And Powertec Spares – 1 Lot j) Gas Cylinder -Feresco Argon Gas - 1 (Quantity) k) Office Furniture – 1 set l) Ro-Water Purifier For Drinking - 1 (Quantity) m) 1.5 ton split ac for office purpose - 1 (Quantity) n) Aluminium scrap -300 kg – 1 lot",https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756049274_8648.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/6b3307fa939cdf4a9ed35cbf1d276a9a.pdf,IBBI_Auctions
U74900TN2014PTC097690,SHEBA MARINE ENGINEERING PRIVATE LIMITED,"5th Street, Opposite Amazon Warehouse, Thirumazhisai, Tamil Nadu – 600124,",11-09-2025,09-09-2025,2547450.0,254740.0,"Sale of Sheba 725 (Boat Skeleton) – 8.2 M, three (3) units in total, located at 5th Street, Opposite Amazon Warehouse, Thirumazhisai, Tamil Nadu – 600124, India, together with all associated fixtures, fittings, and accessories forming part thereof, if any, on “as is where is”, “as is what is”, “whatever there is”, and “no recourse” basis.",https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756049417_8650.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-24-210017-tolgb-6b3307fa939cdf4a9ed35cbf1d276a9a.pdf,IBBI_Auctions
L51909MH2007PLC268269,FUTURE RETAIL LIMITED,New Delhi,01-09-2025,29-08-2025,233814.0,23381.0,PPE- Scrap of Furniture & Misc in scrap or damaged condition,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755850496_8640.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/47c1f7bb5b91259d5da53dda591a0184.pdf,IBBI_Auctions
U01403MP2009PTC022226,Vindhya Cereals Pvt Ltd,Obedullaganj,22-09-2025,19-09-2025,1800000.0,180000.0,"The Assets forming part of the Liquidation Estate- Only 1 asset i.e., Freehold land (Land Locked) measuring 2104.36 sqm / 0.52 Acre at Khasara No 167/2/4, PH No. 08, Gram Obedullagunj, Teh. Goharganj, Dist: Raisen (M.P) Pin Code: 464993",https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755858561_8643.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-22-155921-ktiv7-ab063e3d191554b06a874864a903628b.pdf,IBBI_Auctions
U17200MH2008PTC187167,Kohinoor Ginning and Pressing Pvt Ltd,"Located at Sr. No. 37/2/2, Adjacent to Solapur- Ahilyanagar Highway, Village Ghogargaon, Taluka Shrigonda, District Ahilyanagar, Maharashtra, 414401",20-09-2025,18-09-2025,88800000.0,8880000.0,Land And Building and Plant and Machinery,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756408696_8645.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/fa8d0286a1a351af567c6e8cfbf6c48c.pdf,IBBI_Auctions
U17200MH2008PTC187167,Kohinoor Ginning and Pressing Pvt Ltd,"Located at Sr. No. 37/2/2, Adjacent to Solapur- Ahilyanagar Highway, Village Ghogargaon, Taluka Shrigonda, District Ahilyanagar, Maharashtra, 414401",20-09-2025,18-09-2025,76900000.0,7690000.0,Land and Building,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756408722_8646.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-29-004842-nhbj8-fa8d0286a1a351af567c6e8cfbf6c48c.pdf,IBBI_Auctions
U17200MH2008PTC187167,Kohinoor Ginning and Pressing Pvt Ltd,"Located at Sr. No. 37/2/2, Adjacent to Solapur- Ahilyanagar Highway, Village Ghogargaon, Taluka Shrigonda, District Ahilyanagar, Maharashtra, 414401",20-09-2025,18-09-2025,11900000.0,1190000.0,Plant and Machinery,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756408746_8647.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-29-004906-tpevy-fa8d0286a1a351af567c6e8cfbf6c48c.pdf,IBBI_Auctions
L52393MH2001PLC131252,Tara Jewels Limited,"located at Unit No. B-7/2, Basement floor and B-8, SDF- VII, Gems & Jewellery Complex-II, Plot No. F-1, SEEPZ SEZ, Andheri (East), Mumbai - 400 096",26-09-2025,24-09-2025,3000000.0,300000.0,Inventory - Jewellery,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756357684_8666.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-28-103804-lvtbh-d100a36eecd7bd4813e2fcc8a6668516.pdf,IBBI_Auctions
L52393MH2001PLC131252,Tara Jewels Limited,"Unit No. B-8, SDF-VII, Gems & Jewellery Complex-II, Plot No. F-1, SEEPZ SEZ, Andheri (East), Mumbai – 400 096",26-09-2025,24-09-2025,2850000.0,285000.0,Industrial/Commercial Property,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756357612_8665.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-28-103652-kfwz0-d100a36eecd7bd4813e2fcc8a6668516.pdf,IBBI_Auctions
L52393MH2001PLC131252,Tara Jewels Limited,"Unit No. B-7/2, Basement floor, SDF-VII, Gems & Jewellery Complex-II, Plot No. F-1, SEEPZ SEZ, Andheri (East), Mumbai – 400 096",26-09-2025,24-09-2025,5475000.0,547500.0,Industrial/Commercial Property,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756357540_8664.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-28-103540-anxiq-d100a36eecd7bd4813e2fcc8a6668516.pdf,IBBI_Auctions
U15312PB2012PTC036748,Golden Agrarian Private Limited,Faridkot,18-09-2025,16-09-2025,10442800.0,1044280.0,Current Assets: in Block-A Land of Corporate Debtor along with right to acquire stock: in Block B,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756290286_8661.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/1f6d60dfe78f2f79f762237eb3b52788.pdf,IBBI_Auctions
U27100TG2007PLC056809,saibhaskar Irons Limited,Nagarjupalli Village Martur Mandal Prakasham District as per Document but now it is in Bapatla District Andhra Pradesh,25-09-2025,23-09-2025,24931800.0,2493180.0,Land 9.67 Acres ( Industrial Land) at Nagarjupalli Village Martur Mandal Prakasham District as per Document but now it is in Bapatla District Andhra Pradesh,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756177975_8655.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-26-084250-0sleo-58c84e8c5ab86daa0a1536803f36653a.pdf,IBBI_Auctions
U27100TG2007PLC056809,saibhaskar Irons Limited,Nagarjupalli Village Martur mandal Prakasham DIstrict now Bapatla District Andhra Pradesh,23-09-2025,20-09-2025,29524500.0,2952450.0,Sale of company as a going concern basis as per regulation 32(e) read with Regulation 32 A and 33(1) of IBBI Liquidation process regulations 2016,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756177574_8653.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/58c84e8c5ab86daa0a1536803f36653a.pdf,IBBI_Auctions
U27100TG2007PLC056809,saibhaskar Irons Limited,Nagarjupalli Martur Mandal Prakasham District as per Document but now it is Bapatala District Andhra Pradesh,24-09-2025,21-09-2025,29524500.0,2952450.0,Sale of business of the corporate debtor as a going concern basis as per regulation 32 (f) read with Regualtion 32 A and 33 (1) of IBBI ( Liquidation Process) Regulations 2016,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756177798_8654.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-26-083953-0fodu-58c84e8c5ab86daa0a1536803f36653a.pdf,IBBI_Auctions
U27100TG2007PLC056809,saibhaskar Irons Limited,Nagarjupalli Village Martur Mandal Prakasham District as per Document but now it is in Bapatla District Andhra Pradesh,26-09-2025,23-09-2025,4592700.0,459270.0,Other Than land( Financial ASsets and Intangible Assets),https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756178077_8656.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-26-084433-5w8xn-58c84e8c5ab86daa0a1536803f36653a.pdf,IBBI_Auctions
U51398MH1993PTC074600,Auro Gold Jewellery Private Limited,Mumbai & Surat,25-09-2025,23-09-2025,26875500.0,2687550.0,Office premises of Corporate Debtor (Land & Building),https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756183062_8657.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/802ec14e7419c6d73b4b7dca45eb3d99.pdf,IBBI_Auctions
L51909MH2007PLC268269,FUTURE RETAIL LIMITED,na,11-09-2025,08-09-2025,155850000.0,15585000.0,BRANDS/TRADEMARK,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756230755_8660.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/67f72b47905c28dff6bc392bb1e62787.pdf,IBBI_Auctions
U45200BR1974SGC001146,Bihar State Construction Corporation Limited,"Bihar , Jharkhand",25-09-2025,23-09-2025,1600000.0,160000.0,"Bricks, Furnitures,,, VAN, Motor Pump, Chest, Box, Truck, VAN, Generator, Iron Self, Typing Machine, VAN, Motor Pump, Chest, Box, Truck, VAN, Generator, Iron Self, Typing Machine etc",https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756201511_8659.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/deccff677d80514abb85778a83b3d6cb.pdf,IBBI_Auctions
U17301PB2007PTC030900,RAMA KRISHNA KNITTERS PRIVATE LIMITED,"Village Nurpur Bet, Hambran Ladowal Road, Near T.V. Centre Building, Ludhiana",29-09-2025,27-09-2025,89100.0,8910.0,Plant & Machinery and Misc Fixed Assets- One (1) No. Circular Knitting Machine- Block 4.2.7.2.2,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756189345_8658.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/025139f0ed4a356dc061ca5e52f73532.pdf,IBBI_Auctions
U85110KA1997PTC022128,IDEB PROJECTS PRIVATE LIMITED,"Plot No. 1378, Nicholson Road, Opp to Ritz Cinemas, Inter state Bus Terminal, Kashmere Gate, New Delhi – 110006, admeasuring 300 sq. ft.",26-09-2025,24-09-2025,6000000.0,600000.0,Land and Building,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756101274_8651.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/5b503a04b30adcf5a1e19ad3919ce6c3.pdf,IBBI_Auctions
U74900TN2014PTC097690,SHEBA MARINE ENGINEERING PRIVATE LIMITED,"No. 46 Thenbazar Post, Villupuram, Thindivanam, Tamil Nadu – 604001 Copyright © 2025",11-09-2025,09-09-2025,708485.0,70840.0,"Sale of all plant and machinery comprising the manufacturing unit together with all related fixtures, fittings, tools, spares, accessories, and auxiliary equipment installed or used in connection therewith, on “as is where is”, “as is what is basis”, “whatever there is basis” and “no recourse basis”. MAIN PLANT AND MACHINERY a) Mig-Welder – 3 (Quantity) b) Padestal Drilling Machine - 1 (Quantity) c) Gas Welding Set - 1 (Quantity) d) Rachet Lever Hoist Chain Block - 7 (Quantity) e) Boat Support Stand- 3 Feet (2 nos), 4 Feet (4 nos), 5 Feet (6 nos), 6 Feet (1 nos) f) Working Stand - 8 Feet - 1 (Quantity) 2) ) UTILITIES & ACCESSORIES a) Air-Compressor Elgi Make - 7.5 Hp - 1 (Quantity) b) 1 Ton Material Handling Lift - 1 (Quantity) c) Sloted Rack - 2 (Quantity) d) Steel Almarah - 2 (Quantity) 3) MISCELLANEOUS ASSETS a) Sheba 7m - ( Boat Skelton ) At Tindivanam - 1 (Quantity) b) Powertec Jetski- Unfit Condition -Engine Dismantled – 1 (Quantity) c) Jetski Display Stand - 1 (Quantity) d) Trolley For Boat Displacment - 1 (Quantity) e) Power-Tec 2 Hp Engine - 1 (Quantity) f) Power-Tec Tank With Hose - 1 (Quantity) g) Power-Tec 6 Hp Engine Propeller - 1 (Quantity) h) Head Cover- 2 (Quantity) i) Yamaha Obm And Powertec Spares – 1 Lot j) Gas Cylinder -Feresco Argon Gas - 1 (Quantity) k) Office Furniture – 1 set l) Ro-Water Purifier For Drinking - 1 (Quantity) m) 1.5 ton split ac for office purpose - 1 (Quantity) n) Aluminium scrap -300 kg – 1 lot",https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756049274_8648.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/6b3307fa939cdf4a9ed35cbf1d276a9a.pdf,IBBI_Auctions
U74900TN2014PTC097690,SHEBA MARINE ENGINEERING PRIVATE LIMITED,"5th Street, Opposite Amazon Warehouse, Thirumazhisai, Tamil Nadu – 600124,",11-09-2025,09-09-2025,2547450.0,254740.0,"Sale of Sheba 725 (Boat Skeleton) – 8.2 M, three (3) units in total, located at 5th Street, Opposite Amazon Warehouse, Thirumazhisai, Tamil Nadu – 600124, India, together with all associated fixtures, fittings, and accessories forming part thereof, if any, on “as is where is”, “as is what is”, “whatever there is”, and “no recourse” basis.",https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756049417_8650.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-24-210017-tolgb-6b3307fa939cdf4a9ed35cbf1d276a9a.pdf,IBBI_Auctions
L51909MH2007PLC268269,FUTURE RETAIL LIMITED,New Delhi,01-09-2025,29-08-2025,233814.0,23381.0,PPE- Scrap of Furniture & Misc in scrap or damaged condition,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755850496_8640.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/47c1f7bb5b91259d5da53dda591a0184.pdf,IBBI_Auctions
U01403MP2009PTC022226,Vindhya Cereals Pvt Ltd,Obedullaganj,22-09-2025,19-09-2025,1800000.0,180000.0,"The Assets forming part of the Liquidation Estate- Only 1 asset i.e., Freehold land (Land Locked) measuring 2104.36 sqm / 0.52 Acre at Khasara No 167/2/4, PH No. 08, Gram Obedullagunj, Teh. Goharganj, Dist: Raisen (M.P) Pin Code: 464993",https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755858561_8643.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-22-155921-ktiv7-ab063e3d191554b06a874864a903628b.pdf,IBBI_Auctions
U40101AS2008PTC008829,AGNIPA ENERGO PRIVATE LIMITED,"Village- Laugon, Mouza- Hastinagar, Near Pahumara Irrigation Scheme, Dist- Baksa, BTAD, Assam Dag No.: 289 & 33",19-09-2025,17-09-2025,19500000.0,975000.0,"Option A- Sale of Corporate Debtor as a going concern (without liabilities)as per Regulation 32 (e) of the IBBI Liquidation Process Regulation 2016 along with all its assets, rights, authorities, licenses, permits, NOCs, leasehold rights, actionable claims benefits, but EXCLUDING any cash and bank balances thereof, on ""as is where is basis"", "" as is what is basis"", ""whatever there is basis"" and "" no recourse basis"" Asset ID- 2202, Auction ID-1434",https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755852988_8641.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/7dd5f8bc1ecf1fc2f5b3d541435580f4.pdf,IBBI_Auctions
L51909MH2007PLC268269,FUTURE RETAIL LIMITED,New Delhi,01-09-2025,29-08-2025,233814.0,23381.0,PPE- Scrap of Furniture & Misc in scrap or damaged condition,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755850496_8640.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/47c1f7bb5b91259d5da53dda591a0184.pdf,IBBI_Auctions
U63040RJ2001PTC017067,YASHKIRTI TOURS AND TRAVELS PRIVATE LIMITED,"A/202, 2nd Floor, Nandalaya Residency, b/s. Gokuldham Row House, Bhatpore Gam, Surat, Gujarat -394510.",19-09-2025,16-09-2025,844730.0,84473.0,immovable property- flat,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755843663_8639.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/e2c668585afe498069f079fea9d19a44.pdf,IBBI_Auctions
U17290GJ2005PTC046386,DNB IMPEX PRIVATE LIMITED,"Plot No.18/A/B/C, Block No. 205 & 219, Saheli Industrial Estate, Vill: Karanj,Tal:Mandvi Surat",25-09-2025,22-09-2025,372600.0,30000.0,Plant & Machinery,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755775151_8638.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/61eb35fa1fb8ff115fbd5c9566765d4f.pdf,IBBI_Auctions
U30007KA1987PLC023168,BASE CORPORATION LIMITED,"Solan, Himachal Pradesh",18-09-2025,15-09-2025,608198177.0,60819817.0,"Unit-Solan as a Going Concern, Plant and Machinery, Non- Core Assets",https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755758507_8637.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/f7afd8528d919c2f5efff74e371725b1.pdf,IBBI_Auctions
