Type of AN,Date,Name of Corporate Debtor (Table),Date of Auction (Table),Name of Insolvency Professional (Table),Auction Notice URL,Reserve Price (Table),Nature of Assets (Table),Last Date of EMD (Table),Details URL
Issue of Auction Notice,30-08-2025,LARE FIBC & Energies Private Ltd,11-09-2025,Mr. Ramachandran Subramanian,https://ibbi.gov.in/uploads/auction_notice_liquidation/a63c02396a901f393d15a05068d7b97e.pdf,"14,45,00,000",Land and Building; P...Land and Building; Plant and Machinery,10-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756540525_8685.pdf
Issue of Auction Notice,30-08-2025,SHREE BANKEY BEHARI EXPORTS LIMITED,26-09-2025,Ms. Pooja Bahry,https://ibbi.gov.in/uploads/auction_notice_liquidation/93fae93680a575e72afda89b5b4dca52.pdf,"65,00,00,000","Land and building lo...Land and building located at Industrial Plot No. 2253-2257, Sector 38, Phase II, HSIIDC Industrial Estate, Food Park, Rai, Sonipat, Haryana, measuring 20,250 sq meters",23-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756496588_8679.pdf
Issue of Auction Notice,30-08-2025,Aaj Ka Anand Papers Limited,22-09-2025,Mr. Jitender Kumar Jain,https://ibbi.gov.in/uploads/auction_notice_liquidation/f94d27e03f4ea9ac7d88dd914f338daf.pdf,"3,93,48,000",Plant & Machinery,19-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756532178_8680.pdf
Issue of Auction Notice,30-08-2025,General Composites Private Limited,19-09-2025,Mr. Devang Sampat,https://ibbi.gov.in/uploads/auction_notice_liquidation/eab05c82114043245d1b47a393b66035.pdf,"12,15,00,000","Liquidation as A Slu...Liquidation as A Slump Sale Consisting of Land & Building, Plant & Machinery and Financial Assets & Securities: E – Auction - 19-09-2025 from 3.00 p.m. to 4.00 p.m. with unlimited extension of five minutes.
Land &Building
Approx. 42,200 Sq meters Land Village Lahe, Survey no. 208, 302 & 303, Nr. Vikas industries, Mumbai – Agra National highway, Taluka Shahapur, Dist Thane, MH Industrial Building of R.C.C. & A.C. Shed type approx. Area 2974 Sq. Mtr.
& Plant & Machinery And Financial Assets & Securities :
For assets description refers to E Auction Document on E-AUCTION website i.e. https://ibbi.baanknet.com/eauction-ibbi/home 
Auction id - 1479
or through E mail: dpsampat@sampatassociates.in & ip.generalcpl@gmail.com",17-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756542696_8686.pdf
Issue of Auction Notice,30-08-2025,EURO CERAMICS LIMITED,26-09-2025,Mr. Premraj Ramratan Laddha,https://ibbi.gov.in/uploads/auction_notice_liquidation/fea386e0b49bd005d29a1450954276e5.pdf,0,"Not readily realisab...Not readily realisable assets - Assignment or Transfer of proceedings of Avoidance transactions / PUFE matters under Section 43/ 45/ 49 / 66 of the IBC, 2016 (The amount involved to the extent of Rs. 107 Crores)",26-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756551972_8687.pdf
Issue of Auction Notice,29-08-2025,VIJAYGROUP HOUSING PRIVATE LIMITED,20-09-2025,Mr. Birendra Kumar Agrawal,https://ibbi.gov.in/uploads/auction_notice_liquidation/282b52c08e9292a23c9a52fbdb1e5f5d.pdf,"1,06,80,88,333","Land and Building in...Land and Building including Vacant and Under Construction Land, Movable Assets",17-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756451118_8672.pdf
Issue of Auction Notice,29-08-2025,Kohinoor Ginning and Pressing Pvt Ltd,20-09-2025,Mr. Manoj Kumar Mishra,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-29-004906-tpevy-fa8d0286a1a351af567c6e8cfbf6c48c.pdf,"1,19,00,000",Plant and Machinery,18-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756408746_8647.pdf
Issue of Auction Notice,29-08-2025,SNNEHA NATURAL WORLD PRIVATE LIMITED,20-09-2025,Namrata Amol Randeri,https://ibbi.gov.in/uploads/auction_notice_liquidation/4988478e85f81ae797a9d8f82918f616.pdf,"4,63,00,000","Plot without ETP inc...Plot without ETP includes building existing on plot no 1B with 2,700.00 SQ.M./ 29,052.00 SQ. FT and existing plot 1 C with 15,152.00 SQ.M./ 1,63,036.00 SQ.FT. on lease from Parvati Co- Operative Industrial Estate. Thus total area of Asset Block of land with building is 17,852 SQ.M. / 1,92,088 square feet. The land includes Building admeasuring approximate built-up area of 46,246.50 Sq. Ft. (This block has land and building other than ETP)",18-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756448709_8671.pdf
Issue of Auction Notice,29-08-2025,Kohinoor Ginning and Pressing Pvt Ltd,20-09-2025,Mr. Manoj Kumar Mishra,https://ibbi.gov.in/uploads/auction_notice_liquidation/fa8d0286a1a351af567c6e8cfbf6c48c.pdf,"8,88,00,000",Land And Building an...Land And Building and Plant and Machinery,18-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756408696_8645.pdf
Issue of Auction Notice,29-08-2025,Kohinoor Ginning and Pressing Pvt Ltd,20-09-2025,Mr. Manoj Kumar Mishra,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-29-004842-nhbj8-fa8d0286a1a351af567c6e8cfbf6c48c.pdf,"7,69,00,000",Land and Building,18-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756408722_8646.pdf
Issue of Auction Notice,02-09-2025,HINDUSTHAN SMALL TOOLS PVT LTD,20-09-2025,Mr. Anup Kumar Singh,https://ibbi.gov.in/uploads/auction_notice_liquidation/6c47bdffb1edacc01e73a98b423b563e.pdf,"5,85,00,000","Sale of Corporate De...Sale of Corporate Debtor, Hindusthan Small Tools  Private Limited, as a going concern in accordance with clause (e) of Regulation 32A of IBBI (Liquidation Process) Regulations, 2016 excluding Certain Assets as specified in E- auction Process Information Document including sale of assets in different Lots as mentioned in the E-auction Sale Notice dated 02/09/2025.",17-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756815799_8701.pdf
Issue of Auction Notice,02-09-2025,BSR DIAGNOSTIC LIMITED,24-09-2025,Mr. Hemant Sharma,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-09-02-144318-a8yo1-30cc543a76a53d90e3c96ede242364eb.pdf,"51,31,671",Sale of assets and e...Sale of assets and equipment,22-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756804398_8699.pdf
Issue of Auction Notice,02-09-2025,BSR DIAGNOSTIC LIMITED,24-09-2025,Mr. Hemant Sharma,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-09-02-144133-4506m-30cc543a76a53d90e3c96ede242364eb.pdf,"47,01,890",Sale of assets and e...Sale of assets and equipment,22-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756804293_8698.pdf
Issue of Auction Notice,02-09-2025,BSR DIAGNOSTIC LIMITED,24-09-2025,Mr. Hemant Sharma,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-09-02-143940-10h7l-30cc543a76a53d90e3c96ede242364eb.pdf,"91,80,719",Sale of equipment an...Sale of equipment and assets,22-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756804180_8697.pdf
Issue of Auction Notice,02-09-2025,BSR DIAGNOSTIC LIMITED,24-09-2025,Mr. Hemant Sharma,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-09-02-143750-v83xt-30cc543a76a53d90e3c96ede242364eb.pdf,"18,98,846",Sale of equipmet and...Sale of equipmet and assets,22-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756804070_8696.pdf
Issue of Auction Notice,02-09-2025,BSR DIAGNOSTIC LIMITED,24-09-2025,Mr. Hemant Sharma,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-09-02-143545-2jp1x-30cc543a76a53d90e3c96ede242364eb.pdf,"18,68,576",Sale of assets and e...Sale of assets and equipment,22-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756803945_8695.pdf
Issue of Auction Notice,02-09-2025,BSR DIAGNOSTIC LIMITED,24-09-2025,Mr. Hemant Sharma,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-09-02-143333-14rgd-30cc543a76a53d90e3c96ede242364eb.pdf,"36,14,480",Sale of assets and e...Sale of assets and equipment,22-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756803813_8694.pdf
Issue of Auction Notice,02-09-2025,BSR DIAGNOSTIC LIMITED,24-09-2025,Mr. Hemant Sharma,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-09-02-143131-a14qf-30cc543a76a53d90e3c96ede242364eb.pdf,"17,56,831",Sale of assets and e...Sale of assets and equipment,22-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756803691_8693.pdf
Issue of Auction Notice,02-09-2025,SAGAR INFRA RAIL INTERNATIONAL LIMITED,15-09-2025,Mr. Kambhammettu Sri Vamsi,https://ibbi.gov.in/uploads/auction_notice_liquidation/aa18e7142b3bede1be93978a1d4dd390.pdf,"62,68,100","Plot nos. 532 & 533/...Plot nos. 532 & 533/ MIGH-II, Sai Ramana Towers, situated at KPHB Colony, Kukatpally Village and Municipality, Balanagar Mandal, Ranga Reddy District, Hyderabad- 500 072, Telangana.",12-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756794084_8692.pdf
Issue of Auction Notice,02-09-2025,GITANJALI GEMS LTD,07-10-2025,Mr. Santanu T Ray,https://ibbi.gov.in/uploads/auction_notice_liquidation/6f6243ea9da9c528a78baa6cbb1af3c2.pdf,"37,27,14,652","The Liquidator in Co...The Liquidator in Consultation with the Committee
members has proposed to sale the assets of the Corporate Debtor",04-10-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756790231_8691.pdf
Issue of Auction Notice,30-08-2025,LARE FIBC & Energies Private Ltd,11-09-2025,Mr. Ramachandran Subramanian,https://ibbi.gov.in/uploads/auction_notice_liquidation/a63c02396a901f393d15a05068d7b97e.pdf,"14,45,00,000",Land and Building; P...Land and Building; Plant and Machinery,10-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756540525_8685.pdf
Issue of Auction Notice,30-08-2025,SHREE BANKEY BEHARI EXPORTS LIMITED,26-09-2025,Ms. Pooja Bahry,https://ibbi.gov.in/uploads/auction_notice_liquidation/93fae93680a575e72afda89b5b4dca52.pdf,"65,00,00,000","Land and building lo...Land and building located at Industrial Plot No. 2253-2257, Sector 38, Phase II, HSIIDC Industrial Estate, Food Park, Rai, Sonipat, Haryana, measuring 20,250 sq meters",23-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756496588_8679.pdf
Issue of Auction Notice,30-08-2025,Aaj Ka Anand Papers Limited,22-09-2025,Mr. Jitender Kumar Jain,https://ibbi.gov.in/uploads/auction_notice_liquidation/f94d27e03f4ea9ac7d88dd914f338daf.pdf,"3,93,48,000",Plant & Machinery,19-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756532178_8680.pdf
Issue of Auction Notice,30-08-2025,General Composites Private Limited,19-09-2025,Mr. Devang Sampat,https://ibbi.gov.in/uploads/auction_notice_liquidation/eab05c82114043245d1b47a393b66035.pdf,"12,15,00,000","Liquidation as A Slu...Liquidation as A Slump Sale Consisting of Land & Building, Plant & Machinery and Financial Assets & Securities: E – Auction - 19-09-2025 from 3.00 p.m. to 4.00 p.m. with unlimited extension of five minutes.
Land &Building
Approx. 42,200 Sq meters Land Village Lahe, Survey no. 208, 302 & 303, Nr. Vikas industries, Mumbai – Agra National highway, Taluka Shahapur, Dist Thane, MH Industrial Building of R.C.C. & A.C. Shed type approx. Area 2974 Sq. Mtr.
& Plant & Machinery And Financial Assets & Securities :
For assets description refers to E Auction Document on E-AUCTION website i.e. https://ibbi.baanknet.com/eauction-ibbi/home 
Auction id - 1479
or through E mail: dpsampat@sampatassociates.in & ip.generalcpl@gmail.com",17-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756542696_8686.pdf
Issue of Auction Notice,30-08-2025,EURO CERAMICS LIMITED,26-09-2025,Mr. Premraj Ramratan Laddha,https://ibbi.gov.in/uploads/auction_notice_liquidation/fea386e0b49bd005d29a1450954276e5.pdf,0,"Not readily realisab...Not readily realisable assets - Assignment or Transfer of proceedings of Avoidance transactions / PUFE matters under Section 43/ 45/ 49 / 66 of the IBC, 2016 (The amount involved to the extent of Rs. 107 Crores)",26-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756551972_8687.pdf
Issue of Auction Notice,29-08-2025,VIJAYGROUP HOUSING PRIVATE LIMITED,20-09-2025,Mr. Birendra Kumar Agrawal,https://ibbi.gov.in/uploads/auction_notice_liquidation/282b52c08e9292a23c9a52fbdb1e5f5d.pdf,"1,06,80,88,333","Land and Building in...Land and Building including Vacant and Under Construction Land, Movable Assets",17-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756451118_8672.pdf
Issue of Auction Notice,29-08-2025,Kohinoor Ginning and Pressing Pvt Ltd,20-09-2025,Mr. Manoj Kumar Mishra,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-29-004906-tpevy-fa8d0286a1a351af567c6e8cfbf6c48c.pdf,"1,19,00,000",Plant and Machinery,18-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756408746_8647.pdf
Issue of Auction Notice,29-08-2025,SNNEHA NATURAL WORLD PRIVATE LIMITED,20-09-2025,Namrata Amol Randeri,https://ibbi.gov.in/uploads/auction_notice_liquidation/4988478e85f81ae797a9d8f82918f616.pdf,"4,63,00,000","Plot without ETP inc...Plot without ETP includes building existing on plot no 1B with 2,700.00 SQ.M./ 29,052.00 SQ. FT and existing plot 1 C with 15,152.00 SQ.M./ 1,63,036.00 SQ.FT. on lease from Parvati Co- Operative Industrial Estate. Thus total area of Asset Block of land with building is 17,852 SQ.M. / 1,92,088 square feet. The land includes Building admeasuring approximate built-up area of 46,246.50 Sq. Ft. (This block has land and building other than ETP)",18-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756448709_8671.pdf
Issue of Auction Notice,29-08-2025,Kohinoor Ginning and Pressing Pvt Ltd,20-09-2025,Mr. Manoj Kumar Mishra,https://ibbi.gov.in/uploads/auction_notice_liquidation/fa8d0286a1a351af567c6e8cfbf6c48c.pdf,"8,88,00,000",Land And Building an...Land And Building and Plant and Machinery,18-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756408696_8645.pdf
Issue of Auction Notice,29-08-2025,Kohinoor Ginning and Pressing Pvt Ltd,20-09-2025,Mr. Manoj Kumar Mishra,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-29-004842-nhbj8-fa8d0286a1a351af567c6e8cfbf6c48c.pdf,"7,69,00,000",Land and Building,18-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756408722_8646.pdf
Issue of Auction Notice,29-08-2025,VIJAYGROUP HOUSING PRIVATE LIMITED,20-09-2025,Mr. Birendra Kumar Agrawal,https://ibbi.gov.in/uploads/auction_notice_liquidation/282b52c08e9292a23c9a52fbdb1e5f5d.pdf,"1,06,80,88,333","Land and Building in...Land and Building including Vacant and Under Construction Land, Movable Assets",17-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756451118_8672.pdf
Issue of Auction Notice,29-08-2025,SNNEHA NATURAL WORLD PRIVATE LIMITED,20-09-2025,Namrata Amol Randeri,https://ibbi.gov.in/uploads/auction_notice_liquidation/4988478e85f81ae797a9d8f82918f616.pdf,"4,63,00,000","Plot without ETP inc...Plot without ETP includes building existing on plot no 1B with 2,700.00 SQ.M./ 29,052.00 SQ. FT and existing plot 1 C with 15,152.00 SQ.M./ 1,63,036.00 SQ.FT. on lease from Parvati Co- Operative Industrial Estate. Thus total area of Asset Block of land with building is 17,852 SQ.M. / 1,92,088 square feet. The land includes Building admeasuring approximate built-up area of 46,246.50 Sq. Ft. (This block has land and building other than ETP)",18-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756448709_8671.pdf
Issue of Auction Notice,29-08-2025,Kohinoor Ginning and Pressing Pvt Ltd,20-09-2025,Mr. Manoj Kumar Mishra,https://ibbi.gov.in/uploads/auction_notice_liquidation/fa8d0286a1a351af567c6e8cfbf6c48c.pdf,"8,88,00,000",Land And Building an...Land And Building and Plant and Machinery,18-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756408696_8645.pdf
Issue of Auction Notice,29-08-2025,Kohinoor Ginning and Pressing Pvt Ltd,20-09-2025,Mr. Manoj Kumar Mishra,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-29-004842-nhbj8-fa8d0286a1a351af567c6e8cfbf6c48c.pdf,"7,69,00,000",Land and Building,18-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756408722_8646.pdf
Issue of Auction Notice,29-08-2025,Kohinoor Ginning and Pressing Pvt Ltd,20-09-2025,Mr. Manoj Kumar Mishra,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-29-004906-tpevy-fa8d0286a1a351af567c6e8cfbf6c48c.pdf,"1,19,00,000",Plant and Machinery,18-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756408746_8647.pdf
Issue of Auction Notice,28-08-2025,Tara Jewels Limited,26-09-2025,Mr. Brijendra Kumar Mishra,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-28-103540-anxiq-d100a36eecd7bd4813e2fcc8a6668516.pdf,"54,75,000",Industrial/Commercia...Industrial/Commercial Property,24-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756357540_8664.pdf
Issue of Auction Notice,28-08-2025,Tara Jewels Limited,26-09-2025,Mr. Brijendra Kumar Mishra,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-28-103804-lvtbh-d100a36eecd7bd4813e2fcc8a6668516.pdf,"30,00,000",Inventory - Jeweller...Inventory - Jewellery,24-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756357684_8666.pdf
Issue of Auction Notice,28-08-2025,Tara Jewels Limited,26-09-2025,Mr. Brijendra Kumar Mishra,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-28-103652-kfwz0-d100a36eecd7bd4813e2fcc8a6668516.pdf,"28,50,000",Industrial/Commercia...Industrial/Commercial Property,24-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756357612_8665.pdf
Issue of Auction Notice,27-08-2025,Golden Agrarian Private Limited,18-09-2025,Sandeep Kumar Chitkara,https://ibbi.gov.in/uploads/auction_notice_liquidation/1f6d60dfe78f2f79f762237eb3b52788.pdf,"1,04,42,800","Current Assets: in B...Current Assets: in Block-A 
Land of Corporate Debtor along with right to acquire stock: in Block B",16-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756290286_8661.pdf
Issue of Auction Notice,26-08-2025,FUTURE RETAIL LIMITED,11-09-2025,Mr. Sanjay Gupta,https://ibbi.gov.in/uploads/auction_notice_liquidation/67f72b47905c28dff6bc392bb1e62787.pdf,"15,58,50,000",BRANDS/TRADEMARK,08-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756230755_8660.pdf
Issue of Auction Notice,26-08-2025,Bihar State Construction Corporation Limited,25-09-2025,Mr. Nitesh Kumar More,https://ibbi.gov.in/uploads/auction_notice_liquidation/deccff677d80514abb85778a83b3d6cb.pdf,"16,00,000","Bricks, Furnitures,...Bricks, Furnitures,,, VAN, Motor Pump, Chest, Box, Truck,
VAN, Generator, Iron Self, Typing Machine, VAN, Motor
Pump, Chest, Box, Truck, VAN, Generator, Iron Self,
Typing Machine etc",23-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756201511_8659.pdf
Issue of Auction Notice,26-08-2025,RAMA KRISHNA KNITTERS PRIVATE LIMITED,29-09-2025,Mr. Rajender Kumar Jain,https://ibbi.gov.in/uploads/auction_notice_liquidation/025139f0ed4a356dc061ca5e52f73532.pdf,"89,100",Plant & Machinery an...Plant & Machinery and Misc Fixed Assets- One (1) No. Circular Knitting Machine- Block 4.2.7.2.2,27-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756189345_8658.pdf
Issue of Auction Notice,26-08-2025,Auro Gold Jewellery Private Limited,25-09-2025,Mr. Avil Jerome Menezes,https://ibbi.gov.in/uploads/auction_notice_liquidation/802ec14e7419c6d73b4b7dca45eb3d99.pdf,"2,68,75,500",Office premises of C...Office premises of Corporate Debtor (Land & Building),23-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756183062_8657.pdf
Issue of Auction Notice,26-08-2025,saibhaskar Irons Limited,26-09-2025,Dr. Kondapalli Venkat Srinivas,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-26-084433-5w8xn-58c84e8c5ab86daa0a1536803f36653a.pdf,"45,92,700",Other Than land( Fin...Other Than land( Financial ASsets and Intangible Assets),23-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756178077_8656.pdf
Issue of Auction Notice,26-08-2025,saibhaskar Irons Limited,25-09-2025,Dr. Kondapalli Venkat Srinivas,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-26-084250-0sleo-58c84e8c5ab86daa0a1536803f36653a.pdf,"2,49,31,800",Land 9.67 Acres ( In...Land 9.67 Acres ( Industrial Land) at Nagarjupalli Village Martur Mandal Prakasham District as per Document but now it is in Bapatla District Andhra Pradesh,23-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756177975_8655.pdf
